Data item name,Description,Form name,Theme,Theme_count,Theme_group
RO2_transpblopr_rail_tot_exp,Total expenditure - Support to operators - rail services,RO2,transpblopr,21,Transport
RO2_transpblopr_rail_sfc,"Sales, Fees and Charges - Support to operators - rail services",RO2,transpblopr,21,Transport
RO2_transpblopr_rail_oth_inc,Other income - Support to operators - rail services,RO2,transpblopr,21,Transport
RO2_transpblopr_rail_tot_inc,Total income - Support to operators - rail services,RO2,transpblopr,21,Transport
RO2_transpblopr_rail_net_cur_exp,NET current expenditure - Support to operators - rail services,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_empl,Employees - Support to operators - other,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_run_exp,Running expenses - Support to operators - other,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_tot_exp,Total expenditure - Support to operators - other,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_sfc,"Sales, Fees and Charges - Support to operators - other",RO2,transpblopr,21,Transport
RO2_transpblopr_oth_oth_inc,Other income - Support to operators - other,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_tot_inc,Total income - Support to operators - other,RO2,transpblopr,21,Transport
RO2_transpblopr_oth_net_cur_exp,NET current expenditure - Support to operators - other,RO2,transpblopr,21,Transport
